HOJA 1: MATRIZ DE ESPECIFICACIONES TÉCNICAS (Fases I y II),,;;;;;;;;;;;;;;;;;;;;;;;;;
Presión Intersticial Tumoral Inicial,Pifp basal,?50 mmHg,Límite patológico inicial del estroma desmoplásico del ADCP que causa el colapso vascular.;;;;;;;;;;;;;;;;;;;;;;;;;
Constante de Disociación del Inhibidor,Kd,1.2 nM,Afinidad de enlace no covalente inicial en el bolsillo alostérico del dominio MH2 de SMAD4.;;;;;;;;;;;;;;;;;;;;;;;;;
Factor de Exceso Termodinámico,?,5 a 10,Asegura una saturación y ocupación protectora >99% de los sitios diana de SMAD4 en hepatocitos.;;;;;;;;;;;;;;;;;;;;;;;;;
Masa Molecular del Plásmido pDNA,MWpDNA,?3\,000\,000 Da,Parámetro crítico para el cálculo estequiométrico del balance transcitótico en humanos.;;;;;;;;;;;;;;;;;;;;;;;;;
Masa Molecular del Inhibidor Covalente,MWinh,?1\,200 Da,Estructura química de la pirazolopirimidina conjugada a la acrilamida para la adición de Michael.;;;;;;;;;;;;;;;;;;;;;;;;;
Umbral de Secreción Temprana de PGE2,PGE2,<5 pg/mL,Umbral biológico para decretar la supresión total del Efecto de Repoblación Fénix.;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de Polidispersidad,PDI,<0.05,Garantía de homogénea monodispersión bajo síntesis en reactores microfluídicos coaxiales.;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA 1: MATRIZ DE ESPECIFICACIONES TÉCNICAS (Fases I y II);;;; Especificación Técnica;Nanoplataforma A (NPA) - Fluidización;Nanoplataforma B (NPB) - Letalidad Sintética Diámetro Hidrodinámico;25±2 nm (Optimizado para una penetración ultra rápida entre los poros estromales).;80±4 nm (Optimizado para transcitosis gp60 y secuestro de SPARC). Estructura del Vector / Corona;Andamio de rHSA modificado por succinilación parcial.;Híbrido de núcleo-coraza de rHSA estabilizado con PEG-Maleimida. Carga Útil Encapsulada (Payload);circRNA funcional de SMAD4 + siRNA dirigido contra GPX4.;Plásmido pSMAD4 (Promotor HSE + Riboswitch) + siRNAs anti-CDH2/CCNB1. Fármaco Conjugado / Prodroga;Ninguno.;Inhibidor de pan-caspasas irreversible Z-VAD-FMK. Química de Enlace / Condensación;Nanocondensación interna mediante cationes de Mg2+.;Conector dendrimérico cíclico Maleimida-PEG4-Val-Cit en el residuo Cys34. Mecanismo de Activación;Monofásico: gradiente de pH endosomal (6.5?5.5) y fusión molecular.;Compuerta lógica digital secuencial [AND]: escisión extracelular por MMP-9 + hidrólisis lisosómica por Catepsina B. Ventana Temporal de Acción;Fase Temprana (0-6 h): Infiltración citosólica profunda y desactivación del escudo antioxidante.;Fase Tardía (12-48 h): Paro mitótico\;reversión de EMT y bloqueo diferido de caspasas efectoras. Efecto Biológico Principal;Silenciamiento de GPX4, acumulación de ROS basal y represión nuclear de c-MYC.;Paro mitótico en G2/M, acumulación de focos de ?-H2AX, supresión de N-Cadherina y abrogación de PGE2. Blindaje Hepático Adicional;No aplica / Ausencia de acumulación tóxica sinusoidal hepática.;Doble barrera protectora activa: 1) Captura endocítica dirigida por GalNAc y 2) Bucle IFFL centinela miR-122.
HOJA 2: MÓDULO DE ADICIÓN Y BLINDAJE HEPÁTICO (Módulo de Bioseguridad);;;; Componente de Seguridad;Especificación del Sistema de Blindaje en Humanos;Función Farmacocinética Hepática Mecanismo de Infección / Captura;Clúster tri-antenario de N-Acetilgalactosamina (GalNAc).;Unión selectiva de alta afinidad picomolar con el Receptor de Asialoglucoproteína (ASGPR) humano en hepatocitos sanos. Tasa de Aclaramiento Plasmático;Internalización por endocitosis mediada por receptor en minutos (>90% de captación activa).;Secuestra y esconde el fármaco protector en el hígado antes de liberar la terapia génica tumoral. Diana Molecular Interna;Residuo Cisteína 524 (Cys524) en el dominio MH2 de la proteína SMAD4.;El grupo tiol (?SH) de la cisteína ataca el carbono beta de la acrilamida de la molécula protectora. Tipo de Reacción Química;Adición de Michael nucleofílica conjugada.;Bloqueo alostérico irreversible. Genera un enlace tioéter ultraestable eliminando la constante de escape (koff?0). Tiempo de Residencia (tR);Infinito (tR??).;Evita de forma absoluta que SMAD4 libre en el hígado interfiera o cause toxicidad cruzada fuera de objetivo (off-target).;;;;;;;;;
HOJA 1: MATRIZ DE ESPECIFICACIONES TÉCNICAS (Fases I y II);;;; Especificación Técnica;Nanoplataforma A (NPA) - Fluidización;Nanoplataforma B (NPB) - Letalidad Sintética Diámetro Hidrodinámico;25±2 nm (Optimizado para una penetración ultra rápida entre los poros estromales).;80±4 nm (Optimizado para transcitosis gp60 y secuestro de SPARC). Estructura del Vector / Corona;Andamio de rHSA modificado por succinilación parcial.;Híbrido de núcleo-coraza de rHSA estabilizado con PEG-Maleimida. Carga Útil Encapsulada (Payload);circRNA funcional de SMAD4 + siRNA dirigido contra GPX4.;Plásmido pSMAD4 (Promotor HSE + Riboswitch) + siRNAs anti-CDH2/CCNB1. Fármaco Conjugado / Prodroga;Ninguno.;Inhibidor de pan-caspasas irreversible Z-VAD-FMK. Química de Enlace / Condensación;Nanocondensación interna mediante cationes de Mg2+.;Conector dendrimérico cíclico Maleimida-PEG4-Val-Cit en el residuo Cys34. Mecanismo de Activación;Monofásico: gradiente de pH endosomal (6.5?5.5) y fusión molecular.;Compuerta lógica digital secuencial [AND]: escisión extracelular por MMP-9 + hidrólisis lisosómica por Catepsina B. Ventana Temporal de Acción;Fase Temprana (0-6 h): Infiltración citosólica profunda y desactivación del escudo antioxidante.;Fase Tardía (12-48 h): Paro mitótico\;reversión de EMT y bloqueo diferido de caspasas efectoras. Efecto Biológico Principal;Silenciamiento de GPX4, acumulación de ROS basal y represión nuclear de c-MYC.;Paro mitótico en G2/M, acumulación de focos de ?-H2AX, supresión de N-Cadherina y abrogación de PGE2. Blindaje Hepático Adicional;No aplica / Ausencia de acumulación tóxica sinusoidal hepática.;Doble barrera protectora activa: 1) Captura endocítica dirigida por GalNAc y 2) Bucle IFFL centinela miR-122.
